xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-282.4731843118943,0.0010766072342822447,-86.38938532353035,0.001220946318838565,,
-278.4926219322001,0.0011242511177228475,-83.295329610808,0.0013412595129430943,,
-274.512059552506,0.001180069209048205,-80.20127389808566,0.001478733786164118,,
-270.5314971728119,0.001245081438027479,-77.10721818536332,0.0016312303479548273,,
-266.55093479311773,0.001320096454091074,-74.01316247264097,0.0017949821548823967,,
-262.5703724134236,0.0014057792741621878,-70.91910675991863,0.001965169124110475,,
-258.5898100337295,0.0015024062591522508,-67.8250510471963,0.0021367660528043932,,
-254.60924765403539,0.0016095660204140925,-64.73099533447396,0.0023054501938980622,,
-250.62868527434128,0.0017261188969671958,-61.63693962175161,0.0024683305998395846,,
-246.64812289464714,0.0018504723361662933,-58.54288390902927,0.0026243133758255426,,
-242.66756051495304,0.0019809298266429297,-55.44882819630693,0.002774023893753522,,
-238.6869981352589,0.0021158208937805145,-52.35477248358459,0.0029193323062769454,,
-234.7064357555648,0.002253364245508586,-49.260716770862246,0.003062636024999446,,
-230.72587337587066,0.002391518018079564,-46.1666610581399,0.0032061138783086043,,
-226.74531099617656,0.0025281332404052683,-43.072605345417564,0.0033511644456533686,,
-222.76474861648242,0.002661465573044339,-39.97854963269522,0.0034981742381401584,,
-218.78418623678832,0.0027907309908582123,-36.884493919972876,0.0036466493428026015,,
-214.80362385709418,0.0029162470569900623,-33.79043820725054,0.003795625389697608,,
-210.82306147740007,0.0030389432670723695,-30.696382494528194,0.003944189371281459,,
-206.84249909770594,0.0031594927685027127,-27.602326781805854,0.004091932295243889,,
-202.8619367180118,0.0032776608737997964,-24.508271069083513,0.004239203864395987,,
-198.8813743383177,0.003392410127312102,-21.414215356361172,0.004387130500232663,,
-194.90081195862356,0.003502845311170038,-18.320159643638828,0.004537443020623039,,
-190.92024957892946,0.003609490144972569,-15.226103930916487,0.004692203340003284,,
-186.93968719923532,0.003715037393164091,-12.132048218194146,0.004853507641628442,,
-182.95912481954122,0.003823873241598891,-9.037992505471804,0.005023195037677199,,
-178.97856243984708,0.003940313403806608,-5.943936792749463,0.005202547501208912,,
-174.99800006015298,0.004066247809043651,-2.8498810800271213,0.005391968075246801,,
-171.01743768045884,0.004199315548606155,0.24417463269522025,0.00559067535106293,,
-167.03687530076473,0.00433257673331802,3.338230345417562,0.005796511690087323,,
-163.0563129210706,0.004456007745943821,6.432286058139903,0.006005967914105674,,
-159.0757505413765,0.004559322755200828,9.526341770862246,0.006214446543577355,,
-155.09518816168236,0.004634953675476823,12.620397483584586,0.006416657358931562,,
-151.11462578198825,0.004679826420442838,15.714453196306929,0.006606956291310065,,
-147.13406340229412,0.004695093886870338,18.80850890902927,0.0067794818233437035,,
-143.15350102259998,0.004684131483580787,21.902564621751612,0.006928109021925738,,
-139.17293864290588,0.004650240461068656,24.996620334473953,0.007046429753469296,,
-135.19237626321174,0.004595755986757491,28.090676047196293,0.007128042985689595,,
-131.21181388351764,0.004523227152379021,31.184731759918638,0.007167325082204299,,
-127.23125150382351,0.004437650337875736,34.27878747264098,0.00716058742851245,,
-123.2506891241294,0.004347696736865019,37.37284318536332,0.007107255423884637,,
-119.27012674443527,0.004264391207656038,40.46689889808566,0.007010572455736401,,
-115.28956436474114,0.0041974624767840505,43.560954610808004,0.0068774275599639625,,
-111.30900198504702,0.004151279408332708,46.65501032353034,0.006717196519977192,,
-107.3284396053529,0.004122683721945872,49.749066036252685,0.006539851338400471,,
-103.34787722565878,0.00410193374091037,52.84312174897503,0.006353879020563402,,
-99.36731484596466,0.004076251360269767,55.93717746169737,0.006164640091611832,,
-95.38675246627054,0.004034247027310251,59.03123317441971,0.005973654835222998,,
-91.40619008657642,0.003969362566219005,62.125288887142055,0.005778988187844365,,
-87.4256277068823,0.003881215233551344,65.2193445998644,0.005576537395276748,,
-83.44506532718817,0.003774734460779691,68.31340031258674,0.005361751303088991,,
-79.46450294749405,0.0036577525206334394,71.40745602530907,0.0051312263107880975,,
-75.48394056779993,0.0035380828601950173,74.50151173803143,0.004883748330653837,,
-71.50337818810581,0.003421145502366726,77.59556745075376,0.004620611019134844,,
